gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
5643,4,20150422,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.02,11
5643,4,20150423,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.31,11
5643,4,20150424,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.28,11
5643,4,20150427,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.64,11
5643,4,20150428,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.44,11
5643,4,20150429,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.76,11
5643,4,20150430,HLT,HILTON WORLDWIDE HOLDINGS,USD,28.96,11
5643,4,20150501,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.83,11
5643,4,20150504,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.39,11
5643,4,20150505,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.04,11
5643,4,20150506,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.06,11
5643,4,20150507,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.48,11
5643,4,20150508,HLT,HILTON WORLDWIDE HOLDINGS,USD,30.1,11
5643,4,20150511,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.69,11
5643,4,20150512,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.43,11
5643,4,20150513,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.11,11
5643,4,20150514,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.5,11
5643,4,20150515,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.5,11
5643,4,20150518,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.51,11
5643,4,20150519,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.59,11
5643,4,20150520,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.62,11
5643,4,20150521,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.28,11
5643,4,20150522,HLT,HILTON WORLDWIDE HOLDINGS,USD,29.35,11
