gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
019661,01W,20150325,TOYOTA MOTOR CORP,JPY,8695.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150326,TOYOTA MOTOR CORP,JPY,8605.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150327,TOYOTA MOTOR CORP,JPY,8481.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150330,TOYOTA MOTOR CORP,JPY,8426.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150331,TOYOTA MOTOR CORP,JPY,8383.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150401,TOYOTA MOTOR CORP,JPY,8236.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150402,TOYOTA MOTOR CORP,JPY,8377.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150403,TOYOTA MOTOR CORP,JPY,8426.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150406,TOYOTA MOTOR CORP,JPY,8333.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150407,TOYOTA MOTOR CORP,JPY,8410.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150408,TOYOTA MOTOR CORP,JPY,8372.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150409,TOYOTA MOTOR CORP,JPY,8367.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150410,TOYOTA MOTOR CORP,JPY,8326.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150413,TOYOTA MOTOR CORP,JPY,8248.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150414,TOYOTA MOTOR CORP,JPY,8285.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150415,TOYOTA MOTOR CORP,JPY,8273.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150416,TOYOTA MOTOR CORP,JPY,8309.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150417,TOYOTA MOTOR CORP,JPY,8297.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150420,TOYOTA MOTOR CORP,JPY,8262.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150421,TOYOTA MOTOR CORP,JPY,8447.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150422,TOYOTA MOTOR CORP,JPY,8462.0000,264,JP3633400001,6900643,0001094517
019661,01W,20150423,TOYOTA MOTOR CORP,JPY,8478.0000,264,JP3633400001,6900643,0001094517
