gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
15362,01W,20150406,WESTPAC BANKING,AUD,39.45,106,AU000000WBC1,6076146,719245
15362,01W,20150407,WESTPAC BANKING,AUD,39.66,106,AU000000WBC1,6076146,719245
15362,01W,20150408,WESTPAC BANKING,AUD,39.76,106,AU000000WBC1,6076146,719245
15362,01W,20150409,WESTPAC BANKING,AUD,39.52,106,AU000000WBC1,6076146,719245
15362,01W,20150410,WESTPAC BANKING,AUD,39.88,106,AU000000WBC1,6076146,719245
15362,01W,20150413,WESTPAC BANKING,AUD,39.77,106,AU000000WBC1,6076146,719245
15362,01W,20150414,WESTPAC BANKING,AUD,39.56,106,AU000000WBC1,6076146,719245
15362,01W,20150415,WESTPAC BANKING,AUD,38.92,106,AU000000WBC1,6076146,719245
15362,01W,20150416,WESTPAC BANKING,AUD,39.27,106,AU000000WBC1,6076146,719245
15362,01W,20150417,WESTPAC BANKING,AUD,38.9,106,AU000000WBC1,6076146,719245
15362,01W,20150420,WESTPAC BANKING,AUD,38.79,106,AU000000WBC1,6076146,719245
15362,01W,20150421,WESTPAC BANKING,AUD,38.79,106,AU000000WBC1,6076146,719245
15362,01W,20150422,WESTPAC BANKING,AUD,38.29,106,AU000000WBC1,6076146,719245
15362,01W,20150423,WESTPAC BANKING,AUD,38.18,106,AU000000WBC1,6076146,719245
15362,01W,20150424,WESTPAC BANKING,AUD,38.42,106,AU000000WBC1,6076146,719245
15362,01W,20150427,WESTPAC BANKING,AUD,38.85,106,AU000000WBC1,6076146,719245
15362,01W,20150428,WESTPAC BANKING,AUD,38.39,106,AU000000WBC1,6076146,719245
15362,01W,20150429,WESTPAC BANKING,AUD,37.4,106,AU000000WBC1,6076146,719245
15362,01W,20150430,WESTPAC BANKING,AUD,36.46,106,AU000000WBC1,6076146,719245
15362,01W,20150501,WESTPAC BANKING,AUD,36.73,106,AU000000WBC1,6076146,719245
15362,01W,20150504,WESTPAC BANKING,AUD,35.6,106,AU000000WBC1,6076146,719245
15362,01W,20150505,WESTPAC BANKING,AUD,35.28,106,AU000000WBC1,6076146,719245
15362,01W,20150506,WESTPAC BANKING,AUD,33.99,106,AU000000WBC1,6076146,719245
15362,01W,20150507,WESTPAC BANKING,AUD,33.9,106,AU000000WBC1,6076146,719245
15362,01W,20150508,WESTPAC BANKING,AUD,34.05,106,AU000000WBC1,6076146,719245
15362,01W,20150511,WESTPAC BANKING,AUD,33.7,106,AU000000WBC1,6076146,719245
15362,01W,20150512,WESTPAC BANKING,AUD,34.06,106,AU000000WBC1,6076146,719245
15362,01W,20150513,WESTPAC BANKING,AUD,33.27,106,AU000000WBC1,6076146,719245
15362,01W,20150514,WESTPAC BANKING,AUD,33.03,106,AU000000WBC1,6076146,719245
15362,01W,20150515,WESTPAC BANKING,AUD,33.05,106,AU000000WBC1,6076146,719245
