gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
19661,01W,20150430,TOYOTA MOTOR CORP,JPY,8358,264,JP3633400001,6900643,1094517
19661,01W,20150501,TOYOTA MOTOR CORP,JPY,8315,264,JP3633400001,6900643,1094517
19661,01W,20150504,TOYOTA MOTOR CORP,JPY,8315,264,JP3633400001,6900643,1094517
19661,01W,20150505,TOYOTA MOTOR CORP,JPY,8315,264,JP3633400001,6900643,1094517
19661,01W,20150506,TOYOTA MOTOR CORP,JPY,8315,264,JP3633400001,6900643,1094517
19661,01W,20150507,TOYOTA MOTOR CORP,JPY,8214,264,JP3633400001,6900643,1094517
19661,01W,20150508,TOYOTA MOTOR CORP,JPY,8279,264,JP3633400001,6900643,1094517
19661,01W,20150511,TOYOTA MOTOR CORP,JPY,8235,264,JP3633400001,6900643,1094517
19661,01W,20150512,TOYOTA MOTOR CORP,JPY,8284,264,JP3633400001,6900643,1094517
19661,01W,20150513,TOYOTA MOTOR CORP,JPY,8196,264,JP3633400001,6900643,1094517
19661,01W,20150514,TOYOTA MOTOR CORP,JPY,8179,264,JP3633400001,6900643,1094517
19661,01W,20150515,TOYOTA MOTOR CORP,JPY,8296,264,JP3633400001,6900643,1094517
19661,01W,20150518,TOYOTA MOTOR CORP,JPY,8352,264,JP3633400001,6900643,1094517
19661,01W,20150519,TOYOTA MOTOR CORP,JPY,8364,264,JP3633400001,6900643,1094517
19661,01W,20150520,TOYOTA MOTOR CORP,JPY,8405,264,JP3633400001,6900643,1094517
19661,01W,20150521,TOYOTA MOTOR CORP,JPY,8423,264,JP3633400001,6900643,1094517
19661,01W,20150522,TOYOTA MOTOR CORP,JPY,8346,264,JP3633400001,6900643,1094517
19661,01W,20150525,TOYOTA MOTOR CORP,JPY,8459,264,JP3633400001,6900643,1094517
19661,01W,20150526,TOYOTA MOTOR CORP,JPY,8451,264,JP3633400001,6900643,1094517
19661,01W,20150527,TOYOTA MOTOR CORP,JPY,8496,264,JP3633400001,6900643,1094517
19661,01W,20150528,TOYOTA MOTOR CORP,JPY,8637,264,JP3633400001,6900643,1094517
19661,01W,20150529,TOYOTA MOTOR CORP,JPY,8604,264,JP3633400001,6900643,1094517
19661,01W,20150601,TOYOTA MOTOR CORP,JPY,8520,264,JP3633400001,6900643,1094517
19661,01W,20150602,TOYOTA MOTOR CORP,JPY,8514,264,JP3633400001,6900643,1094517
19661,01W,20150603,TOYOTA MOTOR CORP,JPY,8515,264,JP3633400001,6900643,1094517
19661,01W,20150604,TOYOTA MOTOR CORP,JPY,8527,264,JP3633400001,6900643,1094517
19661,01W,20150605,TOYOTA MOTOR CORP,JPY,8470,264,JP3633400001,6900643,1094517
19661,01W,20150608,TOYOTA MOTOR CORP,JPY,8358,264,JP3633400001,6900643,1094517
19661,01W,20150609,TOYOTA MOTOR CORP,JPY,8215,264,JP3633400001,6900643,1094517
19661,01W,20150610,TOYOTA MOTOR CORP,JPY,8182,264,JP3633400001,6900643,1094517
19661,01W,20150611,TOYOTA MOTOR CORP,JPY,8322,264,JP3633400001,6900643,1094517
