gvkey,iid,datadate,conm,curcdd,prccd,exchg,isin,sedol,cik
015362,01W,20150608,WESTPAC BANKING,AUD,31.1900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150609,WESTPAC BANKING,AUD,31.3500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150610,WESTPAC BANKING,AUD,31.3600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150611,WESTPAC BANKING,AUD,31.9700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150612,WESTPAC BANKING,AUD,31.6700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150615,WESTPAC BANKING,AUD,31.7200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150616,WESTPAC BANKING,AUD,32.3000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150617,WESTPAC BANKING,AUD,32.9000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150618,WESTPAC BANKING,AUD,32.4800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150619,WESTPAC BANKING,AUD,32.8000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150622,WESTPAC BANKING,AUD,33.1200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150623,WESTPAC BANKING,AUD,33.7000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150624,WESTPAC BANKING,AUD,33.6700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150625,WESTPAC BANKING,AUD,33.3100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150626,WESTPAC BANKING,AUD,33.0100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150629,WESTPAC BANKING,AUD,32.0200,106,AU000000WBC1,6076146,0000719245
015362,01W,20150630,WESTPAC BANKING,AUD,32.1500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150701,WESTPAC BANKING,AUD,32.3800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150702,WESTPAC BANKING,AUD,33.0100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150703,WESTPAC BANKING,AUD,32.7600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150706,WESTPAC BANKING,AUD,32.4900,106,AU000000WBC1,6076146,0000719245
015362,01W,20150707,WESTPAC BANKING,AUD,33.7600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150708,WESTPAC BANKING,AUD,33.1600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150709,WESTPAC BANKING,AUD,32.8800,106,AU000000WBC1,6076146,0000719245
015362,01W,20150710,WESTPAC BANKING,AUD,33.1000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150713,WESTPAC BANKING,AUD,32.9600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150714,WESTPAC BANKING,AUD,33.6100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150715,WESTPAC BANKING,AUD,34.0000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150716,WESTPAC BANKING,AUD,34.6300,106,AU000000WBC1,6076146,0000719245
015362,01W,20150717,WESTPAC BANKING,AUD,34.5700,106,AU000000WBC1,6076146,0000719245
015362,01W,20150720,WESTPAC BANKING,AUD,34.6000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150721,WESTPAC BANKING,AUD,34.9000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150722,WESTPAC BANKING,AUD,34.3500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150723,WESTPAC BANKING,AUD,34.2600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150724,WESTPAC BANKING,AUD,34.2400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150727,WESTPAC BANKING,AUD,34.3600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150728,WESTPAC BANKING,AUD,34.2100,106,AU000000WBC1,6076146,0000719245
015362,01W,20150729,WESTPAC BANKING,AUD,34.4000,106,AU000000WBC1,6076146,0000719245
015362,01W,20150730,WESTPAC BANKING,AUD,34.7400,106,AU000000WBC1,6076146,0000719245
015362,01W,20150731,WESTPAC BANKING,AUD,34.8600,106,AU000000WBC1,6076146,0000719245
015362,01W,20150803,WESTPAC BANKING,AUD,34.8500,106,AU000000WBC1,6076146,0000719245
015362,01W,20150804,WESTPAC BANKING,AUD,34.7700,106,AU000000WBC1,6076146,0000719245
